UPORABNIK,IME,O_SKUP,EMSO,DAV_ST,KONTAKT,EMAIL,TELEFON,GSM,DRZAVA,KRAJ,POSTA,NASELJE,ULICA,HISNA_ST,SKLADISCE,STATUS
U1,KONUS KONVES D.O.O.,063,,11775262,G.MILENA,,754 212,,SI,SLOVENSKE KONJICE,3210,,,,,s
U1,AJA LINA,,,37748475,,,03-897-1080; 0609 ali 031-625-355,,SI,VELENJE,3320,,,,,@s
U1,MECATOR-DEGRO,,,,,,,,SI,PORTOROŽ-PORTOROSE,6320,,,,,s
U1,KOPLAST,,,,,,,,SI,SLOVENSKE KONJICE,3210,,,,,s
U1,"RADEÈE PAPIR, D.O.O.",,,49636081,,info@radecepapir.si,03 568 05 00,,SI,RADEÈE,1433,,,,,s
U1,TOP-KOP ÈRENŠOVCI,,,97676802,,,,,SI,SLOVENJ GRADEC,2380,,,,,s
U1,KLINIÈNI CENTER LJ,01,,,,,43 18 323,,SI,,1105,,,,,s
U1,ZAGOREC,,,,,,,,SI,BOŠTANJ,8294,,,,,s
U1,INDE D.D.,05,,80619517,,,"05 663 00 10, 05-663-00-54",,SI,KOPER,6000,,,,,s
U1,HORVAT ANDREJ S.P.,,,99920158,,,"02-843-1112-del., 02-803-0017, 041-720-5",,SI,MAKOLE,2321,,,,,s
U1,ISKRA ERO D.O.O.,,,47243830,,,,,SI,KRANJ,4000,,,,,s
U1,STEKLO,,,,,,,,SI,SLOVENSKA BISTRICA,2310,,,,,s
U1,JEKLOTEHNA TRGOVINA D.O.O.,062,,21226229,,,062 221 115,,SI,MARIBOR,2000,,,,,s
U1,CEFLEX D.O.O.,,,18026427,,,,,SI,CELJE,3000,,,,,s
U1,LOHNKO INŽINERING D.O.O.,,,35443359,,,01-4790-579-ALJA,,SI,LJUBLJANA,1111,,,,,s
U1,BANEX D.O.O.,063,,12260827,,,757 150,,SI,SLOVENSKE KONJICE,3210,,,,,s
U1,GARANT D.D.POLZELA,063,,47520710,,,703 700,,SI,POLZELA,3313,,,,,s
U1,ZAŠÈITA PTUJ,02,,64454924,,zascita@siol.net,779 71 11,,SI,PTUJ,2250,,,,,s
U1,PETEK RIBNICA D.O.O.,,,47785438,,,041  646765,,SI,RIBNICA NA DOLENJSKEM,1310,,,,,s
U1,TAP DEKOR,,,,,,"07-452-1010, 041-688-046",,SI,ARTIÈE,8253,,,,,s
U1,MERCIS  D.O.O.,,,13107631,,,"01-470-0700, GA. MIRA-470-0717",,SI,RADOMLJE,1235,,,,,s
U1,AGROTEX D.O.O.,,,,,,,,SI,MARIBOR,2000,,,,,s
U1,LORENCI TREBNJE,,,,,,,,SI,TREBNJE,8210,,,,,s
U1,DIOKOM HOLDING D.D.,,,,,,,,HR,SPLIT,58000,,,,,s
U1,CINKARNA D.D.,03,,15280373,,,427 60 00,,SI,CELJE,3000,,,,,@s
U1,"SLOVENIJALES, P.O. M",,,,,,,,SI,LJUBLJANA,1000,,,,,s
U1,TIO,,,,,,,,SI,ŠENTJANŽ PRI DRAVOGRADU,2373,,,,,s
U1,DOBNIKAR MAJDA S.P.,,,18363482,,,,,SI,CERKLJE NA GORENJSKEM,4207,,,,,s
U1,DINKA COMMERC,,,,,,,,HR,RIJEKA,51000,,,,,s
U1,ŠTEFAN VEREŠ,,,47820543,,,   02 84 50 183,,SI,OPLOTNICA,2317,,,,,s
U1,KONUS TOZD KOTERM,,,,,,,,SI,SLOVENSKE KONJICE,3210,,,,,s
U1,KONUS PE KOFIL,,,65406664,,,,,SI,SLOVENSKE KONJICE,3210,,,,,!@ps1
U1,SPLOŠNA BOLNICA IZOLA,,,,,,,,SI,IZOLA-ISOLA,6310,,,,,s
U1,BREST- MASIVA INDUST,01,,,,,709 32 20,,SI,CERKNICA,1380,,,,,s
U1,SARHATLIÈ EMIRA S.P.,,,98867806,,,"03-5754-918, 031-530-090",,SI,SLOVENSKE KONJICE,3210,,,,,s
U1,PAMUÈNA INDUSTRIJA DUGA RESA,,,,,,,,HR,DUGA RESA,47250,,,,,s
U1,KOLIÈEVO KARTON,01,,85087777,,,01 721 10 11,,SI,DOMŽALE,1230,,,,,s
U1,PAMUÈNA INDUSTRIJA,,,,,,,,HR,,44260,,,,,s
U1,SIJ ACRONI D.O.O.,,,25840754,,uprava@acroni.si,04 5841 461,,SI,JESENICE,4270,,,,,s
U1,TEKSTILINDUS TEKSTIL,,,,,,,,SI,KRANJ,4000,,,,,s
U1,PREDILNICA LITIJA D.O.O.,,,36119725,,,01-899-02-00,,SI,LITIJA,1270,,,,,s
U1,HIDRIA IMP KLIMA D.O.O.,01,,86885677,,,01-3005 217,,SI,LJUBLJANA,1000,,,,,s
U1,"MARLES, P.O. ŽAGARSK",,,,,,,,SI,LIMBUŠ,2341,,,,,s
U1,STTC MARIBOR,,,,,,,,SI,ŠENTJANŽ PRI DRAVOGRADU,2373,,,,,s
U1,CELIA,,,,,,,,SI,VRANSKO,3305,,,,,s
U1,ŠTAJERSKI AVTO DOM D.O.O.,,,29075696,,,02 3300500,,SI,MARIBOR,2000,,,,,s
U1,SUKNO,,,,,,,,SI,BEGUNJE NA GORENJSKEM,4275,,,,,s
U1,IPEO KRŠKO,,,,,,,,SI,KRŠKO,8270,,,,,s
U1,SPOMIN  D.O.O.,,,32548249,,,"02-332-6067, 041-673-501, 0609-617-931",,SI,MARIBOR,2000,,,,,s
U1,ISKRA TOV.ELEKTRONSK,,,,,,,,SI,SEMIÈ,8333,,,,,s
U1,TPP AVTOTEHNIKA D.O.,,,,,,,,SI,CELJE,3000,,,,,s
U1,BOMBAŽNA PREDILNICA IN TKALNICA,04,,12480479,,,04 596 35 71,,SI,TRŽIÈ,4290,,,,000236,s
UN,VALENTAN DARJA S.P.,062,,10954813,,,"02-332-7579, 041-674-821",,SI,MARIBOR,2000,,,,,s
U1,GODEC ANDREJ S.P.,,,75423928,,,,,SI,SLOVENSKA BISTRICA,2310,,,,,s
U1,VARTEKS DP TRGOVINA,,,,,,,,HR,VARAŽDIN,42000,,,,,s
U1,LESNA  D.O.O.,,,55164501,,,02 8846200,,SI,SLOVENJ GRADEC,2380,,,,,s
U1,B-STYLE  D.O.O.,,,,,,,,SI,LAŠKO,3270,,,,,s
U1,MESSER SLOVENIJA D.,062,,59138645,,,,,SI,RUŠE,2342,,,,,s
U1,MERCATOR - PEKARNA,,,,,,,,SI,GROSUPLJE,1290,,,,,s
U1,MARIJAN PODBREZNIK S.P.NEUPORABEN,063,,43720323,,,"492 9540, 041 608 363",,SI,CELJE,3000,,,,,@s
U1,GALA TRADE,,,,,,,,SI,CELJE,3000,,,,,s
U1,OPIM INSTALACIJE,065,,53599608,,,"72 315,72 206",,SI,IDRIJA,5280,,,,,s
U1,VINTER ŠPORT- NEVELJ.,,,73937975,,,"02-8184-868, 041-427-733",,SI,SLOVENSKA BISTRICA,2310,,,,,s
U1,DEKORATIVNA,,,,,,,,SI,LAŠKO,3270,,,,,s
U1,MLADINSKA KNJIGA BIROOPREMA D.D.-NE,061,,69499110,,,,,SI,LJUBLJANA,1000,,,,,s
U1,BOMBY D.O.O.,,,,,,,,SI,RUŠE,2342,,,,,s
U1,FORUM  D.O.O.,0601,,19534442,,,"62 041,64 241",,SI,ZAGORJE OB SAVI,1410,,,,,s
U1,DEKADA D.O.O.,,,,,,,,SI,KAMNICA,2351,,,,,s
U1,MLAKAR SAŠO,,,,,,,,SI,SLOVENSKE KONJICE,3210,,,,,s
U1,E.LJ.KOMERC  D.O.O.,,,,,,,,MK,SKOPJE,91000,,,,,s
U1,NJEGAÈ SILVA S.P.,,,99687186,,,"02-7888-146, 7888-147",,SI,MARKOVCI PRI PTUJU,2281,,,,,s
U1,BETI PREJA D.O.O. NE UPORABLJAJ,,,51752174,,,07 36 38 306,,SI,METLIKA,8330,,,,,s
U1,REMŽGAR TANJA S.P.,,,36431311,,,"01-544-2402, 041-606-277",,SI,LJUBLJANA,1000,,,,,s
U1,FLIS-TERŠEK ANDREJA S.P.,,,77836995,,,"491-5300, 031-305-590, 041-615-903",,SI,CELJE,3000,,,,,s
U1,PIRAT D.O.O.,,,32797214,,,,,SI,MARIBOR,2000,,,,,s
U1,TROŠPORT EXCLUSIVE D.O.O.,,,12418137,,,"02-887-3659, 031-689-252, 041-689-252",,SI,RADLJE OB DRAVI,2360,,,,,s
U1,MIKROTEHNA,,,,,,,,HR,ZAGREB,41000,,,,,s
U1,ŽUNKO SILVA S.P.,,,53378334,,,(02)461-1461,,SI,MARIBOR,2000,,,,,s
U1,TOVARNA OBUTVE,,,,,,,,SI,NOVO MESTO,8000,,,,,s
U1,ŠIVILJSTVO VLASTA,,,,,,,,SI,LOÈE PRI POLJÈANAH,3215,,,,,s
U1,JAVOR PIVKA D.O.O.,,,54585503,,,,,SI,KNEŽAK,6253,,,,,s
